Inventory_ID,Product_ID,Product,Opening_stock,Purchases,Sales,Closing_Stock,Reorder,Status,Inventory_value
INV038,P038,Visitor Chair,40,30,10,60,15,Normal,120000
INV039,P039,Computer Desk,25,20,7,38,10,Normal,247000
INV040,P040,Office Table,20,15,5,30,10,Normal,195000
INV041,P041,Conference Table,12,8,3,17,5,Normal,119000
INV042,P042,Filing Cabinate,20,15,6,29,10,Normal,116000
INV043,P043,Bookshelf,25,20,8,37,10,Normal,185000
INV044,P044,Storage rack,30,25,10,45,15,Normal,135000
INV045,P045,Pallet,100,80,30,150,40,Normal,75000
INV046,P046,Plastic Bin,100,60,25,135,40,Normal,81000
INV047,P047,Storage Box,80,70,30,120,40,Normal,72000
INV048,P048,Carton Box,200,150,50,300,80,Normal,30000
INV049,P049,Bubble Wrap,150,100,40,210,60,Normal,52500
INV050,P050,Packing Tape,180,120,50,250,70,Normal,87500
INV051,P051,Stretch Film,100,80,25,155,40,Normal,69750
INV052,P052,Barcode Scanner,35,25,8,52,15,Normal,260000
INV053,P053,Barcode Printer,25,20,5,40,10,Normal,280000
INV054,P054,Label Printer,30,20,8,42,15,Normal,150000
INV055,P055,Shipping Label,300,200,80,420,100,Normal,105000
INV056,P056,Thermal Paper Roll,250,150,60,340,80,Normal,102000
INV057,P057,Calculator,80,50,20,110,30,Normal,27500
INV058,P058,Stapler,100,80,30,150,40,Normal,15000
INV059,P059,Paper Punch,90,70,25,135,30,Normal,20250
INV060,P060,File Folder,150,100,40,210,60,Normal,42000
INV061,P061,A4 Paper,200,150,50,300,80,Normal,75000
INV062,P062,Notebook,150,100,40,210,60,Normal,16800
INV063,P063,Pen,300,200,100,400,100,Normal,8000
INV064,P064,Marker,200,150,80,270,70,Normal,13500
INV065,P065,Whiteboard,30,25,10,45,15,Normal,31500
INV066,P066,Whiteboard Maker,200,150,80,270,60,Normal,10800
INV067,P067,Printer Toner,40,30,12,58,15,Normal,104400
INV068,P068,Printer Cartridge,50,35,15,70,20,Normal,154000
INV069,P069,CCTV Camera,30,20,8,42,10,Normal,147000
INV070,P070,DVR System,20,15,5,30,10,Normal,240000
INV071,P071,CCTV Monitor,25,20,6,39,10,Normal,273000
INV072,P072,Access Control System,15,10,3,22,5,Normal,165000
INV073,P073,Biometric Machine,20,15,5,30,8,Normal,105000
INV074,P074,Fire Extinguisher,40,30,10,60,15,Normal,48000
INV075,P075,Safe Helmet,100,80,30,150,40,Normal,180000
INV076,P076,Safety Gloves,200,150,70,280,80,Normal,252000
INV077,P077,Safety Shoes,80,60,20,120,30,Normal,144000
INV078,P078,Reflective Jacket,100,70,30,140,40,Normal,140000
INV079,P079,Hand Trolley,25,20,6,39,10,Normal,136500
INV080,P080,Platform Trolley,15,10,4,21,8,Normal,105000
INV081,P081,Hand Pallet Truck,12,8,3,17,5,Normal,340000
INV082,P082,Forklift,5,3,1,7,2,Normal,180000
INV083,P083,Conveyor Belt,10,8,2,16,4,Normal,72000
INV084,P084,Weighing Scale,25,15,5,35,10,Normal,175000
INV085,P085,Digital Weighing Machine,20,15,5,30,8,Normal,225000
INV086,P086,Packing Machine,10,8,3,15,5,Normal,52500
INV087,P087,Strapping Machine,8,6,2,12,4,Normal,216000
INV088,P088,Hand Truck,20,15,5,30,8,Normal,120000
INV089,P089,Ladder,25,15,8,32,10,Normal,224000
INV090,P090,Cleaning Machine,12,8,3,17,5,Normal,204000
INV091,P091,Air Conditioner,15,10,4,21,5,Normal,37800
INV092,P092,Electric Fan,30,20,8,42,10,Normal,87500
INV093,P093,LED Light,100,80,30,150,40,Normal,210000
INV094,P094,Generator,8,5,2,11,3,Normal,165000
INV095,P095,Inverter,15,10,4,21,5,Normal,75000
INV096,P096,Water Dispenser,12,8,3,17,5,Normal,119000
INV097,P097,Refrigerator,10,6,2,14,3,Normal,140000
INV098,P098,Microwave Oven,15,10,4,21,5,Normal,126000
INV099,P099,Coffee Machine,12,8,3,17,4,Normal,63750
INV100,P100,First Aid Kit,50,40,15,75,20,Normal,37500
